Date,Start,End,Gas,Slope,R2,Ta,Flux,Treatment,Plot,Measurement,Replicate,Pressure_mbar,PAR_in,PAR_out,Air_temp,Windspeed_ms
2021-08-03,14:08:34,14:11:34,CO2,0.047,0.94,10.52,0.059,BC,2,Dark,2,896.85,0.0759548,707.859,11.1916,1.51
2021-08-03,14:16:40,14:19:40,CH4,-0.075,0.99,10.09,-0.094,BC,2,Light,3,896.95,571.393,735.931,11.352,3.02
2021-08-03,14:18:10,14:21:10,CO2,0.049,0.95,10.18,0.062,BC,2,Light,3,896.95,571.393,735.931,11.352,3.02
2021-08-03,14:21:46,14:24:46,CH4,-0.146,0.97,10.31,-0.183,BC,2,Dark,3,896.95,0.0826567,771.504,11.6025,3.02
2021-08-03,14:22:04,14:25:04,CO2,0.065,0.95,10.31,0.082,BC,2,Dark,3,896.95,0.0826567,771.504,11.6025,3.02
2021-08-03,14:32:18,14:35:18,CH4,-0.057,0.99,10.89,-0.071,BC,3,Light,1,896.95,545.349,776.862,12.8367,3.02
2021-08-03,14:32:21,14:35:21,CO2,0.09,0.99,10.9,0.113,BC,3,Light,1,896.95,545.349,776.862,12.8367,3.02
2021-08-03,14:36:45,14:39:45,CO2,0.101,0.98,11.37,0.126,BC,3,Dark,1,896.95,0.10723,811.479,11.8227,3.02
2021-08-03,14:36:47,14:39:47,CH4,-0.064,0.98,11.37,-0.08,BC,3,Dark,1,896.95,0.10723,811.479,11.8227,3.02
2021-08-03,14:40:54,14:43:54,CH4,-0.076,0.99,11.42,-0.095,BC,3,Light,2,896.95,502.694,785.485,14.0125,3.02
2021-08-03,14:41:22,14:44:22,CO2,0.101,0.98,11.42,0.126,BC,3,Light,2,896.95,502.694,785.485,14.0125,3.02
2021-08-03,14:45:47,14:48:47,CO2,0.118,0.95,11.22,0.148,BC,3,Dark,2,896.95,0.125102,676.829,11.1252,3.02
2021-08-03,14:45:47,14:48:47,CH4,-0.095,0.89,11.22,-0.119,BC,3,Dark,2,896.95,0.125102,676.829,11.1252,3.02
2021-08-03,14:51:51,14:54:51,CO2,0.113,0.99,10.12,0.142,BC,3,Light,3,896.95,428.137,626.826,10.4779,3.02
2021-08-03,14:52:18,14:55:18,CH4,-0.064,1,10.12,-0.08,BC,3,Light,3,896.95,428.137,626.826,10.4779,3.02
2021-08-03,14:55:33,14:58:33,CH4,-0.046,0.92,10.12,-0.058,BC,3,Dark,3,896.95,0.0737209,789.984,10.3624,3.02
2021-08-03,14:55:51,14:58:51,CO2,0.081,0.94,10.12,0.102,BC,3,Dark,3,896.95,0.0737209,789.984,10.3624,3.02
2021-08-03,15:05:18,15:08:06,CH4,-0.012,0.9,10.79,-0.015,HC,3,Light,1,896.95,522.806,805.414,14.0604,3.02
2021-08-03,15:05:35,15:08:23,CO2,-0.039,0.41,10.79,-0.049,HC,3,Light,1,896.95,522.806,805.414,14.0604,3.02
2021-08-03,15:13:47,15:16:21,CH4,-0.006,0.42,9.95,-0.008,HC,3,Dark,1,896.85,0.0848907,1010.75,10.813,3.52
2021-08-03,15:14:05,15:16:39,CO2,0.02,0.48,9.95,0.025,HC,3,Dark,1,896.85,0.0848907,1010.75,10.813,3.52
2021-08-03,15:18:24,15:21:24,CO2,-0.112,0.72,10.37,-0.141,HC,3,Light,2,896.85,524.274,779.636,13.5737,3.52
2021-08-03,15:19:02,15:22:02,CH4,-0.004,0.59,10.33,-0.005,HC,3,Light,2,896.85,524.274,779.636,13.5737,3.52
2021-08-03,15:24:01,15:26:01,CO2,0.057,0.64,10.26,0.072,HC,3,Dark,2,896.85,0.0871247,997.224,11.424,3.52
2021-08-03,15:24:01,15:26:01,CH4,-0.009,0.53,10.26,-0.011,HC,3,Dark,2,896.85,0.0871247,997.224,11.424,3.52
2021-08-03,15:29:05,15:31:41,CO2,-0.188,0.8,10.72,-0.236,HC,3,Light,3,896.85,555.431,776.888,13.6311,3.52
2021-08-03,15:29:05,15:31:41,CH4,-0.003,0.15,10.72,-0.004,HC,3,Light,3,896.85,555.431,776.888,13.6311,3.52
2021-08-03,15:34:35,15:36:41,CH4,0.005,0.5,10.68,0.006,HC,3,Dark,3,896.85,0.064785,776.089,10.7787,3.52
2021-08-03,15:35:23,15:37:29,CO2,0.037,0.59,10.37,0.046,HC,3,Dark,3,896.85,0.064785,776.089,10.7787,3.52
2021-08-03,15:42:37,15:45:31,CO2,-0.059,0.56,9.49,-0.074,HC,4,Light,1,896.85,356.302,459.306,11.5099,3.52
2021-08-03,15:43:06,15:46:00,CH4,-0.002,0.35,9.31,-0.003,HC,4,Light,1,896.85,356.302,459.306,11.5099,3.52
2021-08-03,15:48:38,15:51:32,CH4,-0.008,0.52,8.4,-0.01,HC,4,Dark,1,896.85,0.0692529,473.61,9.71298,3.52
2021-08-03,15:49:05,15:51:59,CO2,0.03,0.64,8.4,0.038,HC,4,Dark,1,896.85,0.0692529,473.61,9.71298,3.52
2021-08-03,15:55:50,15:58:50,CO2,-0.06,0.83,8.28,-0.076,HC,4,Light,2,896.85,338.019,441.333,11.183,3.52
