"Sample","guild_fg","Guild_Count","RelAbund"
"BC5","Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph;Litter Saprotroph;Leaf Saprotroph",0,0
"BC5","Leaf Saprotroph-Wood Saprotroph;Bryophyte Parasite-Leaf Saprotroph-Wood Saprotroph;Wood Saprotroph",0,0
"BC5","Lichenized",0,0
"BC5","Litter Saprotroph",0,0
"BC5","Litter Saprotroph;Undefined Saprotroph",0,0
"BC5","Orchid Mycorrhizal",113,0.00714782718704535
"BC5","Plant Pathogen",137,0.00866594977544437
"BC5","Plant Pathogen;Animal Pathogen;Endophyte",47,0.00297299006894807
"BC5","Soil Saprotroph",0,0
"BC5","Undefined Saprotroph",1306,0.0826111708520463
"BC5","Wood Saprotroph",81,0.00512366373584667
"BC5",NA,12057,0.762666835346954
"BC6","Animal Pathogen-Undefined Saprotroph",0,0
"BC6","Animal Pathogen-Undefined Saprotroph;Animal Pathogen",0,0
"BC6","Animal Pathogen;Endophyte-Plant Pathogen;Plant Pathogen",0,0
"BC6","Dung Saprotroph-Endophyte",0,0
"BC6","Ectomycorrhizal",457,0.024728099128835
"BC6","Ectomycorrhizal-Wood Saprotroph",0,0
"BC6","Ectomycorrhizal;Ectomycorrhizal-Undefined Saprotroph;Wood Saprotroph;Undefined Saprotroph",0,0
"BC6","Ectomycorrhizal;Undefined Saprotroph",0,0
"BC6","Endophyte",1441,0.0779719712136789
"BC6","Endophyte-Fungal Parasite-Plant Pathogen;Endophyte;Animal Pathogen;Endophyte-Plant Pathogen",0,0
"BC6","Endophyte-Undefined Saprotroph",0,0
"BC6","Ericoid Mycorrhizal",0,0
"BC6","Ericoid Mycorrhizal;Endophyte",0,0
"BC6","Fungal Parasite",0,0
"BC6","Fungal Parasite;Lichen Parasite",0,0
"BC6","Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph;Litter Saprotroph;Leaf Saprotroph",0,0
"BC6","Leaf Saprotroph-Wood Saprotroph;Bryophyte Parasite-Leaf Saprotroph-Wood Saprotroph;Wood Saprotroph",0,0
"BC6","Lichenized",339,0.0183431632487419
"BC6","Litter Saprotroph",0,0
"BC6","Litter Saprotroph;Undefined Saprotroph",0,0
"BC6","Orchid Mycorrhizal",110,0.0059520588712732
"BC6","Plant Pathogen",676,0.0365781072452789
"BC6","Plant Pathogen;Animal Pathogen;Endophyte",18,0.000973973269844705
"BC6","Soil Saprotroph",92,0.00497808560142849
"BC6","Undefined Saprotroph",2659,0.143877495806504
"BC6","Wood Saprotroph",0,0
"BC6",NA,12689,0.686597045614415
"BC7","Animal Pathogen-Undefined Saprotroph",0,0
"BC7","Animal Pathogen-Undefined Saprotroph;Animal Pathogen",0,0
"BC7","Animal Pathogen;Endophyte-Plant Pathogen;Plant Pathogen",0,0
"BC7","Dung Saprotroph-Endophyte",0,0
"BC7","Ectomycorrhizal",203,0.00477815699658703
"BC7","Ectomycorrhizal-Wood Saprotroph",0,0
"BC7","Ectomycorrhizal;Ectomycorrhizal-Undefined Saprotroph;Wood Saprotroph;Undefined Saprotroph",0,0
"BC7","Ectomycorrhizal;Undefined Saprotroph",0,0
"BC7","Endophyte",767,0.0180534306225727
"BC7","Endophyte-Fungal Parasite-Plant Pathogen;Endophyte;Animal Pathogen;Endophyte-Plant Pathogen",0,0
"BC7","Endophyte-Undefined Saprotroph",0,0
"BC7","Ericoid Mycorrhizal",11,0.00025891491114511
"BC7","Ericoid Mycorrhizal;Endophyte",11,0.00025891491114511
"BC7","Fungal Parasite",0,0
"BC7","Fungal Parasite;Lichen Parasite",0,0
"BC7","Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph;Litter Saprotroph;Leaf Saprotroph",85,0.00200070613157585
"BC7","Leaf Saprotroph-Wood Saprotroph;Bryophyte Parasite-Leaf Saprotroph-Wood Saprotroph;Wood Saprotroph",0,0
"BC7","Lichenized",0,0
"BC7","Litter Saprotroph",0,0
"BC7","Litter Saprotroph;Undefined Saprotroph",0,0
"BC7","Orchid Mycorrhizal",79,0.00185947981640579
"BC7","Plant Pathogen",13,0.00030599034953513
"BC7","Plant Pathogen;Animal Pathogen;Endophyte",6,0.00014122631517006
"BC7","Soil Saprotroph",0,0
"BC7","Undefined Saprotroph",2501,0.05886783570672
"BC7","Wood Saprotroph",19,0.00044721666470519
"BC7",NA,38790,0.913028127574438
"BE1","Animal Pathogen-Undefined Saprotroph",0,0
"BE1","Animal Pathogen-Undefined Saprotroph;Animal Pathogen",0,0
