"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV511","k__Fungi","p__Chytridiomycota","c__Synchytriomycetes","o__Synchytriales","f__Synchytriaceae","g__Synchytrium",NA
"ASV512","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__subsp._verticillata"
"ASV513","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV514","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea","s__assimilata"
"ASV515","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"ASV516","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV517","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV518","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Phialocephala","s__fortinii"
"ASV519","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV520","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV521","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"ASV522","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__podzolica"
"ASV523","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__vaughanmartiniae"
"ASV524","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Dicranophora","s__fulva"
"ASV525","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Cetraria","s__islandica"
"ASV526","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Sclerococcaceae","g__Sclerococcum","s__deminutum"
"ASV527","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"ASV528","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Byssonectria","s__deformis"
"ASV529","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","s__sphagnicola"
"ASV530","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales",NA,NA,NA
"ASV531","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae",NA,NA
"ASV532","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV533","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"ASV534","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV535","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia",NA
"ASV536","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Spirosphaera","s__minuta"
"ASV537","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV538","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__pinicola"
"ASV539","k__Fungi","p__Chytridiomycota","c__Synchytriomycetes","o__Synchytriales","f__Synchytriaceae","g__Synchytrium",NA
"ASV540","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","s__sphagnicola"
"ASV541","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV542","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV543","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV544","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis",NA,NA
"ASV545","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina","s__hypnorum"
"ASV546","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__macrophylla"
"ASV547","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV548","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Phialocephala","s__fortinii"
"ASV549","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV550","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"ASV551","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Mniaecia","s__gloeocapsae"
"ASV552","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnellula","s__fuscosanguinea"
"ASV553","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Luellia",NA
"ASV554","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"ASV555","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__subcarpta"
"ASV556","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactarius","s__uvidus"
"ASV557","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV558","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Chromosera","s__lilacina"
"ASV559","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV560","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__GS22",NA,NA,NA
"ASV561","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV562","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV563","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"ASV564","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"ASV565","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__lividum"
"ASV566","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Gorgoniceps","s__viridula"
"ASV567","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV568","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA
"ASV569","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Sclerococcaceae","g__Sclerococcum",NA
"ASV570","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Mycosymbioces",NA
"ASV571","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Dactylosporaceae","g__Dactylospora","s__vrijmoediae"
"ASV572","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Hyalorbilia","s__berberidis"
"ASV573","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"ASV574","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV575","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV576","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Pezoloma","s__ericae"
"ASV577","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV578","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV579","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremella","s__phaeophysciae"
"ASV580","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"ASV581","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV582","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"ASV583","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__minuta"
"ASV584","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV585","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","s__terricola"
"ASV586","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,NA,NA
"ASV587","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV588","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"ASV589","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA
"ASV590","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"ASV591","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV592","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV593","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV594","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV595","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Sclerococcaceae","g__Sclerococcum","s__deminutum"
"ASV596","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"ASV597","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Sclerococcaceae","g__Sclerococcum","s__deminutum"
"ASV598","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV599","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"ASV600","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Chromocyphellaceae","g__Chromocyphella",NA
"ASV601","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"ASV602","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina",NA
"ASV603","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae",NA,NA
"ASV604","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV605","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales",NA,NA,NA
"ASV606","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV607","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV608","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV609","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV610","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Microsporomycetaceae",NA,NA
"ASV611","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV612","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales",NA,NA,NA
"ASV613","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Hyphodontiella",NA
"ASV614","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV615","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV616","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV617","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Coccomyces","s__australis"
"ASV618","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae",NA,NA
"ASV619","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Udeniozyma",NA
"ASV620","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV621","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales",NA,NA,NA
"ASV622","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV623","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Clitocybe",NA
"ASV624","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__GS22",NA,NA,NA
"ASV625","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA
"ASV626","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__darwinii"
"ASV627","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV628","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV629","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Chromocyphellaceae","g__Chromocyphella",NA
"ASV630","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Absconditella",NA
"ASV631","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV632","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae",NA,NA
"ASV633","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"ASV634","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV635","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV636","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"ASV637","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV638","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"ASV639","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV640","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Baeospora","s__myosura"
"ASV641","k__Fungi","p__Mucoromycota","c__Endogonomycetes",NA,NA,NA,NA
"ASV642","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__basiparvispora"
"ASV643","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","s__sphagnicola"
"ASV644","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Bensingtonia","s__ciliata"
"ASV645","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__amaurocraea"
"ASV646","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae",NA,NA
"ASV647","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales",NA,NA,NA
"ASV648","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__GS22",NA,NA,NA
"ASV649","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA
"ASV650","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,NA,NA
"ASV651","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales",NA,NA,NA
"ASV652","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae",NA,NA
"ASV653","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae",NA,NA
"ASV654","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Phialocephala","s__fortinii"
"ASV655","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV656","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales",NA,NA,NA
"ASV657","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Alpinaria",NA
"ASV658","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__Branch01",NA,NA,NA
"ASV659","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV660","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA
"ASV661","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales",NA,NA,NA
"ASV662","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__diasemospermus"
"ASV663","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"ASV664","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV665","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV666","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Acarosporales",NA,NA,NA
"ASV667","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV668","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae",NA,NA
"ASV669","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV670","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","s__sphagnicola"
"ASV671","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__sylvestris"
"ASV672","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV673","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Sphaerophoraceae",NA,NA
"ASV674","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","s__terricola"
"ASV675","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales",NA,NA,NA
"ASV676","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV677","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV678","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanoromycetes_ord_Incertae_sedis","f__Micropeltidaceae",NA,NA
"ASV679","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia",NA
"ASV680","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV681","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV682","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Nectriopsis","s__fuliginicola"
"ASV683","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS12",NA,NA,NA
"ASV684","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV685","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV686","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV687","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis",NA,NA
"ASV688","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Hyaloscypha",NA
"ASV689","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV690","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__stuposa"
"ASV691","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Teratosphaeria",NA
"ASV692","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia",NA
"ASV693","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Phialocephala",NA
"ASV694","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea","s__fallax"
"ASV695","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium",NA
"ASV696","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV697","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina","s__fallax"
"ASV698","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina","s__fallax"
"ASV699","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV700","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV701","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"ASV702","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"ASV703","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Acrodontium","s__crateriforme"
"ASV704","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV705","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales","f__Leucosporidiaceae","g__Leucosporidium","s__drummii"
"ASV706","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Phialocephala",NA
"ASV707","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV708","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV709","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina",NA
"ASV710","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__horticola"
"ASV711","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV712","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"ASV713","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__rivularis"
"ASV714","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__rivularis"
"ASV715","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudogymnoascus","s__pannorum"
"ASV716","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV717","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV718","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV719","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Hyphodiscus",NA
"ASV720","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae",NA,NA
"ASV721","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae",NA,NA
"ASV722","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae",NA,NA
"ASV723","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis",NA,NA,NA
"ASV724","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Mollisia","s__cinereo-olivascens"
"ASV725","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae",NA,NA
"ASV726","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"ASV727","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycena",NA
"ASV728","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__cyanipes"
"ASV729","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Trichocladium","s__opacum"
"ASV730","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__macrocystis"
"ASV731","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV732","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Spirosphaera","s__minuta"
"ASV733","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV734","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV735","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV736","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV737","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales",NA,NA,NA
"ASV738","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV739","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV740","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales",NA,NA,NA
"ASV741","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Hyaloscypha",NA
"ASV742","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__dimorpha"
