BC1	AA10	8
BC1	AA9	2
BC1	CBM15	4
BC1	CBM20	10
BC1	CBM42	19
BC1	CBM48	815
BC1	CBM5	4
BC1	CBM50	1
BC1	CBM73	8
BC1	CE1	48
BC1	CE10	226
BC1	GH1	3
BC1	GH101	5
BC1	GH102	10
BC1	GH103	31
BC1	GH105	6
BC1	GH116	42
BC1	GH121	2
BC1	GH13	1444
BC1	GH130	29
BC1	GH15	218
BC1	GH16	4
BC1	GH18	94
BC1	GH19	5
BC1	GH20	91
BC1	GH23	106
BC1	GH26	34
BC1	GH27	5
BC1	GH28	2
BC1	GH29	127
BC1	GH3	441
BC1	GH30	68
BC1	GH31	351
BC1	GH32	32
BC1	GH33	52
BC1	GH37	60
BC1	GH38	123
BC1	GH39	20
BC1	GH4	1
BC1	GH43	78
BC1	GH47	4
BC1	GH48	2
BC1	GH5	410
BC1	GH51	114
BC1	GH52	1
BC1	GH54	19
BC1	GH57	26
BC1	GH59	4
BC1	GH6	26
BC1	GH63	1
BC1	GH65	170
BC1	GH66	15
BC1	GH68	3
BC1	GH74	3
BC1	GH76	2
BC1	GH77	179
BC1	GH79	1
BC1	GH8	17
BC1	GH88	16
BC1	GH9	386
BC1	GH94	178
BC1	GH95	25
BC1	GH97	3
BC1	GT1	35
BC1	GT10	2
BC1	GT14	2
BC1	GT19	55
BC1	GT2	836
BC1	GT20	133
BC1	GT21	55
BC1	GT22	2
BC1	GT25	8
BC1	GT26	58
BC1	GT28	136
BC1	GT3	16
BC1	GT30	35
BC1	GT34	3
BC1	GT35	310
BC1	GT36	59
BC1	GT39	49
BC1	GT4	727
BC1	GT41	11
BC1	GT48	4
BC1	GT5	113
BC1	GT51	274
BC1	GT65	2
BC1	GT66	8
BC1	GT68	2
BC1	GT70	2
BC1	GT71	1
BC1	GT81	45
BC1	GT84	155
BC1	GT85	4
BC1	GT87	49
BC1	GT89	4
BC1	GT9	109
BC1	PL11	8
BC1	PL21	2
BC1	PL4	11
BC1	PL8	9
BC2	AA10	7
BC2	CBM1	3
BC2	CBM15	11
BC2	CBM20	2
BC2	CBM42	35
BC2	CBM48	1267
BC2	CBM5	1
BC2	CBM50	3
BC2	CBM6	4
BC2	CBM73	7
BC2	CE1	116
BC2	CE10	411
BC2	GH1	23
BC2	GH101	10
BC2	GH102	30
BC2	GH103	56
BC2	GH105	8
BC2	GH116	77
BC2	GH12	2
BC2	GH121	10
BC2	GH127	2
BC2	GH13	2401
BC2	GH130	36
BC2	GH15	293
BC2	GH16	5
BC2	GH17	2
BC2	GH18	209
BC2	GH19	25
BC2	GH20	143
BC2	GH23	196
BC2	GH26	53
BC2	GH27	6
BC2	GH28	3
BC2	GH29	264
BC2	GH3	759
BC2	GH30	96
BC2	GH31	539
BC2	GH32	61
BC2	GH33	100
BC2	GH37	111
BC2	GH38	207
BC2	GH39	35
BC2	GH4	1
BC2	GH43	201
BC2	GH47	19
BC2	GH5	705
BC2	GH51	211
BC2	GH52	1
BC2	GH54	35
BC2	GH57	103
BC2	GH59	6
BC2	GH6	24
BC2	GH63	14
