,Plot_no,Date,Year,Month,Treatment,Vegetation,Status,Replicate,Light,Dark
76,HE6,2021-08-07,2021,8,HE,Empetrum,Healthy,1,-0.189,0.165
77,HE6,2021-08-07,2021,8,HE,Empetrum,Healthy,2,-0.11,0.247
78,HE6,2021-08-07,2021,8,HE,Empetrum,Healthy,3,-0.244,0.505
79,HE7,2021-08-07,2021,8,HE,Empetrum,Healthy,1,-0.188,0.64
80,HE7,2021-08-07,2021,8,HE,Empetrum,Healthy,2,-0.222,0.56
81,HE7,2021-08-07,2021,8,HE,Empetrum,Healthy,3,-0.092,0.405
82,BE7,2021-08-07,2021,8,BE,Empetrum,Browning,1,0.144,0.504
83,BE7,2021-08-07,2021,8,BE,Empetrum,Browning,2,0.138,0.273
84,BE7,2021-08-07,2021,8,BE,Empetrum,Browning,3,-0.098,0.322
85,BE8,2021-08-07,2021,8,BE,Empetrum,Browning,1,0.048,0.256
86,BE8,2021-08-07,2021,8,BE,Empetrum,Browning,2,0.161,0.367
87,BE8,2021-08-07,2021,8,BE,Empetrum,Browning,3,0.207,0.229
88,HE8,2021-08-07,2021,8,HE,Empetrum,Healthy,1,-0.173,0.384
89,HE8,2021-08-07,2021,8,HE,Empetrum,Healthy,2,-0.249,0.177
90,HE8,2021-08-07,2021,8,HE,Empetrum,Healthy,3,-0.406,0.469
91,BC1,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.061,0.082
92,BC1,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.085,0.13
93,BC1,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.115,0.112
94,HC1,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.067,0.159
95,HC1,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.038,0.143
96,HC1,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.048,0.171
97,BC2,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.135,0.148
98,BC2,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.131,0.215
99,BC2,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.155,0.168
100,HC2,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.181,0.048
101,HC2,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.185,0.09
102,HC2,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.227,0.075
103,HC3,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.077,0.187
104,HC3,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.087,0.267
105,HC3,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.095,0.279
106,BC3,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.071,0.108
107,BC3,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.103,0.07
108,BC3,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.084,0.106
109,BC4,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.056,0.084
110,BC4,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.078,0.091
111,BC4,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.075,0.108
112,HC4,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.083,0.132
113,HC4,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.074,0.13
114,HC4,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.094,0.114
115,BC5,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.061,0.082
116,BC5,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.051,0.117
117,BC5,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.124,0.153
118,HC5,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.034,0.035
119,HC5,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.053,0.026
120,HC5,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.033,0.031
121,BC6,2022-07-30,2022,7,BC,Cassiope,Browning,1,0.057,0.044
122,BC6,2022-07-30,2022,7,BC,Cassiope,Browning,2,0.059,0.063
123,BC6,2022-07-30,2022,7,BC,Cassiope,Browning,3,0.082,0.061
124,HC6,2022-07-30,2022,7,HC,Cassiope,Healthy,1,-0.044,0.07
125,HC6,2022-07-30,2022,7,HC,Cassiope,Healthy,2,-0.034,0.087
126,HC6,2022-07-30,2022,7,HC,Cassiope,Healthy,3,-0.051,0.088
127,HC7,2022-07-30,2022,7,HC,Cassiope,Healthy,1,-0.037,0.199
128,HC7,2022-07-30,2022,7,HC,Cassiope,Healthy,2,-0.086,0.227
129,HC7,2022-07-30,2022,7,HC,Cassiope,Healthy,3,-0.066,0.268
130,BC7,2022-07-30,2022,7,BC,Cassiope,Browning,1,0.066,0.049
131,BC7,2022-07-30,2022,7,BC,Cassiope,Browning,2,0.069,0.07
132,BC7,2022-07-30,2022,7,BC,Cassiope,Browning,3,0.067,0.072
133,BC8,2022-07-30,2022,7,BC,Cassiope,Browning,1,0.031,0.052
