Plot,Plot,Group,Status,Vegetation,Gene_Copies_16S_ng,log_GC_16S,gc_g_dry_soil_16S,SR_Total_CrypHitOnly,SR_All,SR_Cryp,Northing,Easting,Elevation,Latitude,Longitude,Snow_depth_cm,ST_avg_NGS,SM_avg_NGS,ST_avg_gasflux,SM_avg_gasflux,gene_copies_18S,log_gc_18S,gc_g_dry_soil_18S,FB_ratio,N_percent_core_soil_sample,delta_15N_core_soil_sample,C_percent_core_soil_sample,delta_13C_core_soil_sample,delta_18O_core_soil_sample,pH_H2O_BSC_soil_sample_2020,pH_H2O_core_soil_sample_2020,GWC_BSC_2020,LOI_BSC_2020,LOI_core_2020,TOC_adj_core_2020,TN_adj_core_2020,TOC_adj_BSC_2020,TN_adj_BSC_2020
HC1,HC1,HC,Healthy,Cassiope,1.05E+05,5.021189299,1.65E+09,24,32,24,7598355.778,417287.647,990.07,68.343986,18.497724,22,10.2,0.2737,8.08,0.298962212,1.46E+04,4.16E+00,2.29E+08,1.39E-01,0.252678869,1.440422507,7.398777827,-25.74006289,33.55655061,3.3,4.25,5.1,94.3467,13.6428,25.57451387,1.395357774,396.0011108,15.69471443
HC2,HC2,HC,Healthy,Cassiope,9.30E+03,3.968482949,2.18E+08,23,31,23,7598269.769,417402.391,1000.979,68.343112,18.500272,37.5,10.7,0.3478,8.23,0.371512128,1.28E+03,3.11E+00,2.98E+07,1.38E-01,0.671974235,5.339959374,15.22453967,-25.65811166,31.61961764,3.22,4.28,1.4,45.3424,30.1268,42.38621651,2.035653819,343.9300022,11.13746437
HC3,HC3,HC,Healthy,Cassiope,1.59E+05,5.200029267,2.47E+09,22,28,20,7598228.666,417449.761,1005.553,68.342701,18.501309,22,10.5,0.4377,7.9,0.455842655,3.38E+04,4.53E+00,5.25E+08,2.13E-01,0.34756267,2.746695302,8.673928795,-25.98814235,32.31979395,3.51,4.77,5,92.6658,8.6949,14.41294904,0.789478904,676.0084926,21.03184713
HC4,HC4,HC,Healthy,Cassiope,NA,NA,NA,16,26,19,7598212.859,417468.336,1007.031,68.342543,18.501716,28,8.9,0.4678,8,0.477207893,NA,NA,NA,NA,1.302047336,3.58E-02,31.41717904,-25.49722963,31.07475623,3.63,4.26,5.8,96.8414,92.426,182.0369763,10.30959414,580,11.9055794
HC5,HC5,HC,Healthy,Cassiope,5.40E+04,4.73239376,6.15E+08,23,29,20,7598219.621,417482.401,1007.056,68.34259,18.502073,48,9.2,0.4559,7.95,0.298651221,7600,3.88E+00,8.65E+07,1.41E-01,1.465907321,0.74519852,42.27829041,-25.92495297,27.70461211,3.47,4.41,5.1,94.2385,75.5579,129.7204512,7.626287396,595.5594679,14.58333333
HC6,HC6,HC,Healthy,Cassiope,1.45E+05,5.161368002,2.99E+09,16,22,14,7598234.714,417513.045,1003.126,68.342695,18.50285,81,8.8,0.3319,7.95,0.303956185,8.25E+03,3.92E+00,1.70E+08,5.69E-02,0.74209689,-0.783772385,22.85457173,-25.99090368,30.01549726,3.63,4.25,5.1,94.4627,36.9814,71.14425938,4.525254087,684.8484848,12.19834711
HC7,HC7,HC,Healthy,Cassiope,1.95E+05,5.290034611,3.18E+09,22,33,22,7598227.781,417515.421,1005.606,68.342631,18.50289,25,10.3,0.2727,8.05,0.346754037,1.32E+03,3.12E+00,2.15E+07,6.77E-03,0.173180672,2.858915531,4.240585713,-26.53333344,36.17911149,3.71,5.27,1,25.956,8.8172,16.89849883,1.024062014,292.749004,16.52191235
HE1,HE1,HE,Healthy,Empetrum,1.49E+05,5.171726454,5.70E+08,16,24,16,7598184.751,417456.343,1006.872,68.342304,18.501355,20,11.3,0.474,9.15,0.47608232,1.89E+03,3.28E+00,7.24E+06,1.27E-02,0.394915133,5.34740906,10.0893422,-25.26176551,29.70978049,3.19,4.42,0.7,16.3614,8.1942,20.29894468,1.080482217,143.2802089,7.021782333
HE2,HE2,HE,Healthy,Empetrum,8.25E+04,4.916453949,1.34E+09,23,32,23,7598172.353,417462.018,1007.608,68.342188,18.501461,19,10,0.3012,8.95,0.260733499,1.44E+03,3.16E+00,2.33E+07,1.75E-02,0.620133205,-4.82E-02,17.33342496,-26.0423389,29.52445188,3.16,4.19,1.9,91.7865,35.4552,92.81939695,3.75505129,808.7824351,11.46906188
HE3,HE3,HE,Healthy,Empetrum,1.14E+05,5.054995862,1.12E+09,21,26,17,7598176.769,417472.86,1006.904,68.342217,18.501733,22,9.4,0.3306,8.93,0.317070364,3.11E+04,4.49E+00,3.08E+08,2.73E-01,0.245667059,2.960259933,7.434322499,-26.01907121,31.50862315,3.3,4.41,1.9,97.8205,8.4374,14.04631896,0.597439277,940.1273885,15.97876858
HE4,HE4,HE,Healthy,Empetrum,6.95E+04,4.841984805,9.34E+08,12,18,12,7598180.005,417476.017,1006.772,68.342243,18.501818,34.5,10,0.4633,8.8,0.367455825,1.52E+03,3.18E+00,2.04E+07,2.19E-02,0.266808895,0.726060668,7.337277264,-26.53971925,32.01467004,3.47,4.22,4.8,96.4274,12.0321,23.94349571,0.95892028,798.3146067,18.15730337
HE5,HE5,HE,Healthy,Empetrum,7.85E+04,4.894869657,1.49E+09,12,18,12,7598180.893,417479.795,1006.72,68.342247,18.501911,33,9.3,0.5695,8.53,0.304582832,1.90E+04,4.28E+00,3.61E+08,2.42E-01,0.48281013,1.475943846,11.14024256,-25.558625,31.09795303,3.45,4.25,4.3,97.644,28.4957,74.17719712,3.27264939,880.7407407,15.57777778
HE6,HE6,HE,Healthy,Empetrum,4.10E+04,4.612253906,5.17E+08,13,18,11,7598183.896,417479.863,1006.662,68.342274,18.50192,25,9.2,0.4975,9.05,0.305366893,1.83E+03,3.26E+00,2.31E+07,4.46E-02,0.985366195,3.996000475,16.78738679,-24.91941039,30.37902435,3.48,4.17,4.2,97.5224,41.5135,52.23104192,2.758939581,957.8571429,9.692857143
HE7,HE7,HE,Healthy,Empetrum,3.55E+04,4.550228353,5.93E+08,19,21,15,7598189.799,417483.771,1006.376,68.342323,18.50203,43.5,9.9,0.4849,9.45,0.334675073,4.18E+03,3.62E+00,6.97E+07,1.18E-01,0.510199365,2.356088851,10.12414609,-25.59705071,32.07642802,3.23,4.25,1.8,88.9462,15.9368,26.04900308,1.214363654,1063.731656,19.09014675
