Variable	Description	Units	Method / Notes	Appears in
Pp	Protopannaria pezizoides	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Sc	Solorina crocea	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Sg	Sphaerophorus globosus	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Ssp	Stereocaulon sp.	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Tv	Thamnolia vermicularis	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
UL1	Unknown lichen (black crust)	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Aa	Arctostaphylos alpinus	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Bn	Betula nana	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Ch	Cassiope hypnoides	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Ct	Cassiope tetragona	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
En	Empetrum nigrum ssp. hermaphroditum	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Sh	Salix herbacea	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Spol	Salix polaris	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Vu	Vaccinium uliginosum	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Vv	Vaccinium vitis-idaea	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
