Variable	Description	Units	Method / Notes	Appears in
TOC_adj_BSC_2020	Total dissolved organic carbon in biological soil crust samples	mg L?¹	Measured as non-purgeable organic carbon using a Shimadzu TOC-L analyzer. Samples collected in August 2020.	Metadata.csv
TN_adj_BSC_2020	Total dissolved nitrogen in biological soil crust samples	mg L?¹	Measured using a Shimadzu TNM-L unit. Samples collected in August 2020.	Metadata.csv
Ct_DL	Cassiope tetragona low damage hits	cells per plot	point-frame survey	FullDataHits_damage.csv
Ct_DH	Cassiope tetragona high damage hits	cells per plot	point-frame survey	FullDataHits_damage.csv
Ct_DM	Cassiope tetragona medium damage hits	cells per plot	point-frame survey	FullDataHits_damage.csv
En_DL	Empetrum nigrum low damage hits	cells per plot	point-frame survey	FullDataHits_damage.csv
En_DH	Empetrum nigrum high damage hits	cells per plot	point-frame survey	FullDataHits_damage.csv
En_DM	Empetrum nigrum medium damage hits	cells per plot	point-frame survey	FullDataHits_damage.csv
Date	Date of measurement/collection	-	-	"browning_gpp_20230221.csv, Browning_SM_ST.csv, curated_flux.csv, Latnja_Browning_FluxCalRoutput_ALL_20230221.csv"
Year	Year of measurement/collection	-	-	"browning_gpp_20230221.csv, Browning_lab_CN.csv, Browning_lab_pH.csv, Browning_lab_SM.csv, Browning_lab_SOM.csv, Browning_lab_TOC_TN_v2.csv, curated_flux.csv"
Month	Month of measurement/collection	-	-	"browning_gpp_20230221.csv, curated_flux.csv"
Replicate	number of repeated measurements taken during a campaign	per plot	-	"browning_gpp_20230221.csv, Latnja_Browning_FluxCalRoutput_ALL_20230221.csv, curated_flux.csv"
Light	gas flux measurement taken with clear chamber 	-	Gas flux measurement	browning_gpp_20230221.csv
Dark	gas flux measurement taken with dark chamber 	-	Gas flux measurement	browning_gpp_20230221.csv
Start	Start time of the linear portion of the chamber closure used to estimate the gas flux	s	Determined automatically by the FluxCalR package from the 4-minute chamber closure time series	Latnja_Browning_FluxCalRoutput_ALL_20230221.csv
End	End time of the linear portion of the chamber closure used to estimate the gas flux	s	Determined automatically by the FluxCalR package from the 4-minute chamber closure time series	Latnja_Browning_FluxCalRoutput_ALL_20230221.csv
Gas	Greenhouse gas measured during the chamber closure	-	Carbon dioxide (CO?) or methane (CH?).	Latnja_Browning_FluxCalRoutput_ALL_20230221.csv
Slope	Slope of the linear regression fitted to the selected portion of the chamber concentration time series	ppm s?¹	Estimated by the FluxCalR package and used to calculate the gas flux.	Latnja_Browning_FluxCalRoutput_ALL_20230221.csv
R2	Coefficient of determination (R²) for the fitted linear regression	-	Indicates the goodness-of-fit of the selected linear regression used to estimate the gas flux.	Latnja_Browning_FluxCalRoutput_ALL_20230221.csv
Ta	Air temperature within the chamber during the flux measurement	°C	Used by the FluxCalR package when calculating gas flux.	Latnja_Browning_FluxCalRoutput_ALL_20230221.csv
Flux	Estimated greenhouse gas flux calculated from the linear slope	?mol m?² s?¹	Calculated by the FluxCalR package from the selected linear regression. This value was used in all downstream gas flux analyses.	Latnja_Browning_FluxCalRoutput_ALL_20230221.csv
Measurement	Specifies Light or Dark gas flux measurement	-	Gas flux measurement	Latnja_Browning_FluxCalRoutput_ALL_20230221.csv
Pressure_mbar	Atmospheric pressure recorded for the day of gas flux measurements	mbar	Recorded once per day at the Latnjajaure Field Station and used in gas flux calculations.	"curated_flux.csv, Latnja_Browning_FluxCalRoutput_ALL_20230221.csv"
